,VB,VBG,VBD,RBR,VBN,VBP,JJ,IN,genre,VBZ,DT,CD,MD,RP,NN,TO,UH,RB,NNP,NNS,PRP,WRB,PRP$,CC,WP,JJR,NNPS,JJS,$,FW,PDT,WDT,WP$,RBS,POS,EX
1002,6,9,14,,7,19,20,,1,3,1,7,,2,42,,,7,22,18,21,2,3,11,,2,,,,,,,,,,
1003,18,3,5,,3,21,22,10,1,,1,2,12,1,23,,,15,19,7,26,,,3,,1,,,,,,,,,,
1004,15,13,4,1,14,25,29,29,1,2,2,1,2,,110,,,13,72,10,11,,2,10,,,,1,,,,,,,,
1005,6,14,13,1,,12,25,2,1,1,1,,,,28,1,,8,18,10,23,2,,4,,1,,,,,,,,,,
1006,7,9,31,,2,11,26,7,1,1,1,2,1,,63,,,15,49,7,25,,2,6,,1,,,,,,,,,,
1007,2,6,7,,,22,9,6,1,1,,4,1,,31,,,6,17,7,19,,,8,,6,,,,,,,,,,
1008,17,22,10,,5,34,53,2,1,12,3,3,1,,80,5,,25,34,24,28,1,1,10,,,,1,,,,,,,,
1009,2,6,12,1,2,34,27,17,1,7,9,2,,,64,,4,5,34,23,25,,1,6,,,,1,,,,,,,,
1010,14,13,9,,5,18,14,7,1,6,4,,6,,99,,,9,28,15,22,,2,19,,,,,,,,,,,,
1011,9,7,12,,,9,3,9,1,,1,1,3,,29,,,6,19,6,18,,4,,,1,,1,,,,,,,,
1012,1,4,18,,3,13,8,1,1,4,4,,,1,41,,1,11,23,13,12,2,1,3,,,1,,,,,,,,,
1013,9,10,9,,2,7,16,8,1,2,,1,2,1,44,,,7,54,10,10,,1,1,,,,,,4,,,,,,
1014,13,7,14,1,,22,12,8,1,1,1,,7,2,49,,,26,97,23,30,,2,13,,1,,,,1,,,,,,
1015,7,6,20,,3,9,14,8,1,2,1,8,1,3,48,3,,2,39,8,35,1,,6,,,,,,,,,,,,
1016,12,1,15,,2,16,18,8,1,3,,,2,1,46,,,12,19,14,24,,1,9,1,,,,,,,,,,,
