,VB,VBG,VBD,RBR,VBN,VBP,JJ,IN,genre,VBZ,DT,CD,MD,RP,NN,TO,UH,RB,NNP,NNS,PRP,WRB,PRP$,CC,WP,JJR,NNPS,JJS,$,FW,PDT,WDT,WP$,RBS,POS,EX
757,7,4,7,,4,24,18,4,4,1,2,,,1,31,,,15,13,5,21,,,3,,,,,,1,,,,,,
758,8,1,3,,,16,11,1,4,2,,,,,15,,2,15,7,5,17,3,,1,,,,,,,,1,,,,
759,16,10,4,,5,18,16,2,4,10,,4,3,2,32,3,,6,27,10,22,,3,,,,,2,,,,,,,,
760,19,1,6,1,4,32,34,10,4,,1,1,8,,27,1,,18,24,16,40,,,4,1,1,,,,,,,,,,
761,14,,6,,8,7,7,1,4,,,19,,,20,,,12,11,,18,,,8,,,,,,,,,,,,
762,7,1,13,,5,22,24,8,4,4,,6,1,,43,1,,5,44,5,24,,3,2,,3,,,,,,2,,,,
763,11,2,9,1,1,22,34,7,4,5,2,2,1,2,82,1,,10,78,17,18,,19,2,,1,1,,,,,,,,,
764,23,1,32,,2,34,52,16,4,3,2,8,5,3,74,,,26,105,28,24,,4,4,,,1,1,,2,,,,,,
765,10,,49,,1,58,52,42,4,13,4,17,3,,128,3,,23,123,35,72,1,4,6,2,,,,,10,,,,,,
766,2,,5,,5,8,5,4,4,2,2,,1,,21,1,,4,16,1,6,,,1,,1,,,,,,1,,,,
767,22,2,15,,2,11,12,11,4,,1,2,9,1,34,,,8,16,8,19,2,3,14,,1,1,,,1,,,,,,
768,3,,10,,,8,20,4,4,3,,1,1,,47,,,10,43,7,6,,1,2,,,,,,2,,,,,,
769,25,1,19,1,5,50,65,17,4,7,6,3,3,1,72,2,,31,68,40,56,2,3,9,1,4,,2,,2,,,,,,
770,9,4,17,,7,31,35,11,4,4,2,6,3,4,91,,1,29,59,15,24,1,3,4,,2,,,,,,,,,,
771,11,,17,1,3,19,23,9,4,1,3,4,,4,57,2,1,11,48,12,29,,2,1,,2,,,,,,,,,,
772,14,1,12,,9,49,39,16,4,2,3,,,1,42,1,1,22,50,9,37,,7,1,10,,,,,,,,,,,
773,9,,10,,1,35,28,15,4,7,,4,,1,59,1,1,13,39,19,26,1,2,,,,,,,,,,,,,
774,19,,7,,,38,35,15,4,,3,3,2,,95,1,2,13,49,2,27,,,2,,2,,,,,,,,,,
775,11,1,18,2,5,44,42,17,4,6,3,8,,1,74,1,,26,51,36,37,1,2,2,1,3,1,2,,1,,1,,,,
776,11,23,9,2,,27,27,20,4,13,10,2,,1,78,,1,12,25,26,16,,2,4,2,1,,,,,,,,,,
777,17,16,12,,4,43,35,8,4,1,1,5,,1,116,,,8,54,26,35,1,,7,,,,,,,,,,,,
778,14,13,26,,8,37,43,26,4,11,4,7,,1,95,1,,28,64,31,39,,8,7,1,5,,2,,,,,,,,1
779,13,8,14,,,25,30,11,4,6,,14,2,7,81,,,13,76,15,14,2,1,,1,1,1,1,,,,,,,,
780,8,12,8,,1,14,21,4,4,2,,5,,4,48,4,,6,40,14,17,,,,,1,,,,,,4,,,,
781,8,4,28,,1,32,53,5,4,,1,1,2,16,57,1,,19,50,10,21,,4,3,3,,,,,,,,,,,
782,11,4,10,,5,51,19,18,4,7,1,1,,,37,2,,7,58,25,57,,2,2,1,,,,,1,,,,,,
783,14,,7,1,,14,20,3,4,5,1,,3,,33,,,18,35,10,27,,6,4,1,1,1,,,,,,,,,
784,13,,23,,5,14,25,4,4,,1,,,17,50,1,1,42,49,1,20,,,4,,,,1,,,,,,,,
785,14,15,9,,4,12,20,12,4,5,2,1,2,1,46,2,,13,38,8,16,,2,1,,,,1,,,,,,,,
786,14,,22,,,28,29,18,4,11,2,3,,,50,1,,7,35,18,36,2,,,,,,,,,,,,,,
787,23,,9,,4,19,16,12,4,7,7,,1,3,47,12,,15,31,10,23,2,2,4,,2,,2,,,,,,,,1
788,9,1,21,,2,17,27,6,4,5,6,15,1,1,101,,,14,91,12,18,1,5,1,,,,,,,,,,,,
789,12,12,28,,4,40,52,4,4,5,10,13,,11,137,,,12,117,22,41,4,2,,2,,,4,,1,,,,,,
790,9,,26,,3,54,94,22,4,9,2,26,1,5,290,,1,23,181,29,51,1,,4,3,1,,,,1,,,,1,,
791,29,,14,1,4,24,79,10,4,14,,4,,11,147,,,12,126,17,11,1,2,,,1,,,,,,,,,,
792,30,,31,,2,47,70,14,4,11,2,19,4,5,167,,,15,126,34,68,1,5,2,,,1,1,3,,,1,,,,
793,21,1,17,,5,32,114,26,4,12,2,10,2,,139,,,5,108,21,33,8,2,2,3,,,1,,2,,,,,,
794,4,15,7,,2,32,44,10,4,10,7,3,,6,74,1,,7,81,36,16,,2,3,,1,,,,,,1,,,,
795,6,22,13,,2,12,19,5,4,,4,5,1,,64,,,7,38,11,20,3,,,,,,1,,,,,,,,
796,8,1,13,,8,65,41,19,4,11,4,7,3,1,227,,,9,97,30,46,1,1,1,,,,,,,,,,,,
797,4,,15,,6,30,52,27,4,2,10,4,,3,204,,,17,86,25,16,,2,,,,,,,3,,,,,,
798,27,15,12,,4,51,55,30,4,7,2,4,2,5,158,8,2,42,110,41,43,,9,1,,,,,,,,,,,,
799,16,31,17,,5,29,34,17,4,4,4,5,4,4,110,2,12,42,44,12,55,,2,2,,,,1,,,,1,,,,
800,1,,7,,,22,15,2,4,22,3,3,,,105,,,12,28,12,25,,5,4,,1,1,,,,,,,,,
801,9,13,6,,8,21,32,5,4,2,3,9,3,,91,,,13,59,10,32,,,5,,,,1,,8,,,,,,
802,7,4,20,,5,58,36,11,4,2,9,3,,11,101,,,34,114,5,37,,5,3,,,,2,,,,,,,,
803,25,8,8,,6,30,34,15,4,1,4,2,,,88,,,14,50,5,29,2,,2,,,,,,1,,1,,,,
804,18,1,6,,1,35,18,5,4,5,2,2,6,6,38,3,2,11,32,7,41,6,,,,,,,,,,,,,,
805,13,,3,,3,31,6,11,4,7,4,4,,,57,,,,16,18,24,12,4,1,,,,,,,,,,,,
806,6,2,1,,4,15,41,4,4,,7,4,2,,36,,,10,45,30,12,,3,5,,,,,,2,,,,,,
807,,2,1,,,21,7,2,4,2,2,,,,21,,,2,14,1,23,,,4,,,,,,,,,,,,
808,13,4,22,,1,35,27,7,4,2,5,11,,3,71,3,,9,72,17,29,,,10,,,1,1,,1,,,,,,
809,35,11,33,,1,12,43,11,4,10,,2,1,7,102,,,10,50,24,31,1,,2,,,,,,,,,,,,
810,,,34,,5,10,16,4,4,13,2,3,,,39,,,27,34,3,32,1,3,2,,,,2,,,,,,,,
811,8,,4,,1,26,10,11,4,2,7,2,,,16,,,18,32,5,24,,,,,,,,,2,,,,,,
812,8,12,4,,3,14,14,3,4,,9,4,2,,38,,2,15,34,,11,3,1,2,1,,,,,6,,,,,,
813,3,1,11,,4,16,39,4,4,2,21,4,2,,77,,,,50,2,15,,4,1,,,,,,,,,,,,
814,3,,3,,3,25,20,42,4,,2,2,1,,24,,,13,29,9,25,1,2,,,,,,,9,,,,,,
815,15,2,18,,11,109,26,15,4,4,38,7,4,6,65,1,6,9,50,16,106,1,1,,1,,,,1,2,,,,,,
816,33,5,5,1,1,39,24,5,4,4,4,3,18,,45,,,16,48,6,55,,1,8,,,,,,1,,,,,,
817,12,61,5,,3,81,19,5,4,,,,,,45,1,,18,14,3,80,,,2,,,,,,,,,,,,
818,7,10,6,,10,16,28,4,4,2,4,8,2,,79,,,13,63,8,24,,,6,,,,1,,9,,,,,,
819,7,,15,,8,16,17,10,4,4,3,2,,1,51,,,11,28,9,20,1,2,2,,,,,,2,,1,,,,
820,19,,16,,1,36,37,1,4,1,,6,,,74,2,1,9,48,31,34,6,,7,,1,,,,,,,,,,
821,6,,9,,,36,20,8,4,4,3,2,2,,73,2,,7,87,14,26,1,1,2,,,,,,,,,,,,
822,21,11,11,,2,15,37,4,4,4,2,8,,,74,7,9,5,55,5,12,,,1,,1,,,2,,,,,,,
823,7,3,11,3,4,22,19,10,4,5,1,3,1,1,68,,1,12,58,3,23,,6,10,,,,,,,,,,,,
824,6,3,17,,3,27,26,15,4,3,2,6,,4,65,,,12,82,14,36,2,2,1,,,3,,,1,,,,,,
825,12,,17,,4,20,14,4,4,2,3,2,,,43,,1,15,43,5,24,,2,3,,,,,,,,,,,,
826,23,1,7,,6,28,28,8,4,5,,5,6,,67,1,5,12,49,9,23,,4,5,,,,,,,,,,,,
827,6,2,7,,2,14,12,6,4,3,1,3,1,1,33,,,8,13,6,15,,2,2,,,,,,1,,,,,,
828,8,11,11,,3,9,17,5,4,4,1,4,3,2,30,2,,7,27,8,15,,1,6,,,1,,,,,,,,,
829,15,8,9,,3,22,32,8,4,2,,2,,1,43,7,,15,36,3,24,2,2,2,,,,,,,,,,,,
830,4,6,19,,20,30,20,17,4,,1,2,2,,57,1,,20,53,15,40,,,6,,,,,,,,,,,,
831,21,,6,,4,35,22,10,4,1,,2,4,,48,12,,23,29,10,31,1,3,2,,,,,,,,,,,,
832,8,11,17,,5,19,33,3,4,2,,4,5,1,72,,,11,46,10,34,4,1,11,,,,,,,,,,,,
833,15,7,16,,7,22,13,4,4,,3,3,7,,26,7,,11,8,2,46,,,15,,,,,,,,,,,,
834,16,6,21,,3,19,25,8,4,1,6,2,10,,33,1,,24,26,3,31,,,,3,,,,,1,,1,,,,
835,5,3,42,,16,24,18,9,4,1,1,13,1,5,75,,,10,58,10,50,1,,,,3,,3,,,,1,,,,
836,8,11,11,,3,9,17,4,4,4,1,4,3,2,29,2,,7,24,8,15,,1,6,,,1,,,,,,,,,
837,27,4,6,,,2,14,6,4,,2,,2,,70,25,5,13,43,2,3,,,,,,,,,,,8,,,,
838,12,2,4,,6,32,21,7,4,2,,,3,1,45,,1,22,18,11,24,,1,2,6,1,,,,,,1,,,,
839,22,6,23,,1,20,45,8,4,4,6,6,2,7,69,,,15,51,21,15,1,,3,,,,1,,1,,,,,,
840,9,,17,,1,42,26,6,4,3,7,2,,,54,,4,3,45,14,24,,1,1,2,,,,,,,,,,,
841,6,7,36,,4,40,40,25,4,2,8,20,1,4,111,,,32,107,20,41,1,3,4,,,,,,1,,,,,,
842,19,17,40,,9,55,74,28,4,12,5,5,4,,168,,,25,149,39,52,2,3,16,3,1,,,,1,,,,,,
843,18,22,16,2,9,32,41,10,4,,8,10,7,3,100,1,,20,68,23,44,1,4,8,,2,,,,1,,,,,,
844,10,21,25,,2,33,30,14,4,3,,6,2,,89,,,17,56,30,54,,1,1,1,1,1,1,1,,,,,,,
845,13,9,30,,10,23,26,20,4,1,9,1,3,3,58,2,,24,82,23,30,,1,6,1,,,1,,,,,,,,
